split,baseline,paired_episodes,success_delta_mean,success_delta_ci95,energy_improvement_mean,energy_improvement_ci95,future_margin_delta_mean,future_margin_delta_ci95,energy_ttest_p
combined_shift,random_posture,60,0.1000,0.0896,0.0726,0.0341,-0.0029,0.0043,0.0001
combined_shift,arm_only_reach,60,0.0333,0.0653,0.0158,0.0073,-0.0115,0.0040,0.0001
combined_shift,greedy_reach_mpc,60,0.0000,0.0000,0.0011,0.0016,0.0008,0.0010,0.1814
combined_shift,comfort_regularized_mpc,60,0.0000,0.0000,-0.0000,0.0005,0.0000,0.0005,0.8507
combined_shift,robust_balance_mpc,60,0.0000,0.0000,0.0004,0.0006,-0.0003,0.0004,0.1803
combined_shift,oracle_two_step_mpc,60,-0.0333,0.0458,-0.0048,0.0020,-0.0008,0.0032,0.0000
high_reach,random_posture,60,0.1667,0.1059,0.0610,0.0217,0.0053,0.0026,0.0000
high_reach,arm_only_reach,60,0.0167,0.0327,0.0043,0.0026,0.0003,0.0013,0.0018
high_reach,greedy_reach_mpc,60,0.0000,0.0000,-0.0001,0.0005,0.0005,0.0007,0.7479
high_reach,comfort_regularized_mpc,60,0.0000,0.0000,-0.0003,0.0004,0.0000,0.0003,0.2145
high_reach,robust_balance_mpc,60,0.0000,0.0000,-0.0003,0.0004,0.0000,0.0003,0.2145
high_reach,oracle_two_step_mpc,60,0.0000,0.0466,-0.0014,0.0008,-0.0005,0.0013,0.0006
lateral_reach,random_posture,60,0.1167,0.0819,0.0712,0.0253,0.0063,0.0039,0.0000
lateral_reach,arm_only_reach,60,0.0667,0.0637,0.0191,0.0058,0.0001,0.0028,0.0000
lateral_reach,greedy_reach_mpc,60,0.0000,0.0000,0.0015,0.0019,-0.0005,0.0014,0.1387
lateral_reach,comfort_regularized_mpc,60,0.0000,0.0000,0.0005,0.0016,0.0002,0.0011,0.4988
lateral_reach,robust_balance_mpc,60,0.0000,0.0000,0.0005,0.0016,0.0002,0.0011,0.4988
lateral_reach,oracle_two_step_mpc,60,-0.0167,0.0327,-0.0016,0.0009,0.0005,0.0017,0.0013
narrow_support,random_posture,60,0.1167,0.0819,0.0517,0.0196,0.0034,0.0027,0.0000
narrow_support,arm_only_reach,60,0.0167,0.0327,0.0079,0.0030,-0.0017,0.0026,0.0000
narrow_support,greedy_reach_mpc,60,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
narrow_support,comfort_regularized_mpc,60,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
narrow_support,robust_balance_mpc,60,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
narrow_support,oracle_two_step_mpc,60,0.0000,0.0000,-0.0005,0.0005,0.0006,0.0012,0.0499
nominal,random_posture,60,0.2000,0.1122,0.0913,0.0259,0.0056,0.0026,0.0000
nominal,arm_only_reach,60,0.0333,0.0653,0.0016,0.0012,0.0004,0.0008,0.0105
nominal,greedy_reach_mpc,60,0.0000,0.0000,0.0004,0.0006,-0.0000,0.0005,0.2431
nominal,comfort_regularized_mpc,60,0.0000,0.0000,0.0000,0.0001,-0.0000,0.0002,0.4343
nominal,robust_balance_mpc,60,0.0000,0.0000,0.0000,0.0001,-0.0000,0.0002,0.4343
nominal,oracle_two_step_mpc,60,-0.0167,0.0327,-0.0004,0.0005,-0.0013,0.0008,0.1446
payload_shift,random_posture,60,0.1833,0.0987,0.0457,0.0228,0.0026,0.0033,0.0002
payload_shift,arm_only_reach,60,0.0333,0.0653,0.0037,0.0019,-0.0010,0.0018,0.0004
payload_shift,greedy_reach_mpc,60,0.0000,0.0000,0.0004,0.0006,0.0007,0.0008,0.2327
payload_shift,comfort_regularized_mpc,60,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
payload_shift,robust_balance_mpc,60,0.0000,0.0000,0.0002,0.0005,0.0001,0.0003,0.3214
payload_shift,oracle_two_step_mpc,60,0.0167,0.0327,-0.0013,0.0011,0.0002,0.0010,0.0211
weak_actuation,random_posture,60,0.1500,0.0911,0.0571,0.0232,0.0070,0.0033,0.0000
weak_actuation,arm_only_reach,60,0.0000,0.0000,0.0042,0.0029,0.0011,0.0017,0.0075
weak_actuation,greedy_reach_mpc,60,0.0000,0.0000,0.0004,0.0006,0.0002,0.0006,0.1700
weak_actuation,comfort_regularized_mpc,60,0.0000,0.0000,0.0003,0.0005,-0.0001,0.0002,0.3214
weak_actuation,robust_balance_mpc,60,0.0000,0.0000,0.0003,0.0005,-0.0001,0.0002,0.3214
weak_actuation,oracle_two_step_mpc,60,0.0000,0.0000,-0.0024,0.0014,-0.0013,0.0012,0.0009
